TABLE_NAME	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH
achat_entete	ACH_ID	int	NULL
achat_entete	ACH_NUM	varchar	20
achat_entete	ACH_DATE	date	NULL
achat_entete	TIE_ID	int	NULL
achat_entete	CON_ID	int	NULL
achat_entete	ACH_REF_FOURNISSEUR	varchar	50
achat_entete	ACH_STATUT	enum	9
achat_entete	ACH_TOTAL_HT	decimal	NULL
achat_entete	ACH_TOTAL_TVA	decimal	NULL
achat_entete	ACH_TOTAL_TTC	decimal	NULL
achat_entete	ACH_DATE_ECHEANCE	date	NULL
achat_entete	CP_ID	int	NULL
achat_entete	ACH_COMMENTAIRE	text	65535
achat_entete	USR_ID_CREE_PAR	int	NULL
achat_entete	ACH_CREE_LE	datetime	NULL
achat_entete	ACH_MODIFIE_LE	datetime	NULL
animal	ANI_ID	int	NULL
animal	ANI_PUC	char	15
animal	ANI_CLI	int	NULL
animal	ANI_NOM	varchar	100
animal	ANI_ESPECE	varchar	30
animal	ANI_ESPECE_LIBRE	varchar	100
animal	ANI_NAI	date	NULL
animal	ANI_ESP_1	int	NULL
animal	ANI_ESP_2	int	NULL
animal	ANI_CAC_1	tinyint	NULL
animal	ANI_CAC_2	tinyint	NULL
animal	ANI_CAC_3	tinyint	NULL
animal	ANI_CAC_4	tinyint	NULL
animal	ANI_CAC_5	tinyint	NULL
animal	ANI_CAC_6	tinyint	NULL
animal	ANI_CAC_7	tinyint	NULL
animal	ANI_CAC_8	tinyint	NULL
animal	ANI_CAC_9	tinyint	NULL
animal	ANI_CAC_10	tinyint	NULL
animal	ANI_CAC_11	tinyint	NULL
animal	ANI_CAC_12	tinyint	NULL
animal	ANI_CAC_13	tinyint	NULL
animal	ANI_CAC_14	tinyint	NULL
animal	ANI_COM_1	varchar	255
animal	ANI_GENITEUR	tinyint	NULL
animal	ANI_VACCINS	longtext	4294967295
animal	ANI_POIDS	decimal	NULL
animal	ANI_SEXE	enum	7
animal	ANI_PHOTO_URI	varchar	500
animal	ANI_STATUT_REPRO	enum	14
animal	ANI_STERILISE	tinyint	NULL
animal	ANI_SCORE_CAC	tinyint	NULL
animal	ANI_DERNIERE_SEA_ID	bigint	NULL
animal	ANI_DERNIERE_SEA_DATE	date	NULL
animal	ANI_ALIMENTATION	text	65535
animal	ANI_MEDICAMENTS	text	65535
animal	ANI_HABITUDES	text	65535
animal	ANI_CONTACT_VETO	varchar	200
animal	ANI_FERRURE	varchar	100
animal	ANI_PHOTOS	text	65535
avoir	AVO_ID	int	NULL
avoir	AVO_NUM	varchar	20
avoir	AVO_DATE	date	NULL
avoir	FAC_ID_ORIGINE	int	NULL
avoir	AVO_MONTANT_TTC	decimal	NULL
avoir	AVO_STATUT	enum	9
avoir	AVO_HASH	char	64
avoir	AVO_HASH_PREV	char	64
avoir	AVO_SIGNE_LE	datetime	NULL
avoir	AVO_COMMENTAIRE	text	65535
condition_paiement	CP_ID	int	NULL
condition_paiement	CP_LIBELLE	varchar	100
condition_paiement	CP_NB_JOURS	int	NULL
