TABLE_NAME	COLUMN_NAME	COLUMN_TYPE
achat_entete	ACH_TOTAL_HT	decimal(12,2)
achat_entete	ACH_TOTAL_TTC	decimal(12,2)
achat_entete	ACH_TOTAL_TVA	decimal(12,2)
animal	ANI_POIDS	decimal(5,2)
avoir	AVO_MONTANT_TTC	decimal(10,2)
devis_contrat_entete	DCE_COEF_FG	decimal(10,4)
devis_contrat_entete	DCE_COEF_VTE	decimal(10,4)
devis_contrat_entete	DCE_PCT_MARGE	decimal(10,4)
devis_contrat_entete	DCE_TOTAL_HT	decimal(10,2)
devis_contrat_entete	DCE_TOTAL_TTC	decimal(10,2)
devis_contrat_entete	DCE_TOTAL_TVA	decimal(10,2)
elevage_declaration	DEC_MONTANT	decimal(10,2)
elevage_reservation	RES_ACOMPTE	decimal(10,2)
elevage_reservation	RES_MONTANT_ECHELON	decimal(10,2)
elevage_reservation	RES_PRIX_TOTAL	decimal(10,2)
elevage_reservation	RES_SOLDE	decimal(10,2)
facture	FAC_TOTAL_TTC	decimal(10,2)
reglement	REG_MONTANT	decimal(10,2)
seance	SEA_MONTANT_HT	decimal(10,4)
seance	SEA_MONTANT_TTC	decimal(10,2)
seance	SEA_MONTANT_TVA	decimal(10,4)
