TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT
achat_entete	ACH_STATUT	enum('BROUILLON','RECU','VALIDE','ANNULE')	NO	'BROUILLON'
animal	ANI_SEXE	enum('M','F','INCONNU')	YES	NULL
animal	ANI_STATUT_REPRO	enum('ACTIF','RETRAITE','JAMAIS_UTILISE')	NO	'JAMAIS_UTILISE'
avoir	AVO_STATUT	enum('BROUILLON','VALIDE','IMPUTE','ANNULE')	NO	'BROUILLON'
devis_contrat_entete	DCE_METHODE_TARIF	enum('COEF_FG_MARGE','COEF_VTE','PRIX_DIRECT')	YES	NULL
devis_contrat_entete	DCE_STATUT	enum('BROUILLON','ENVOYE','ACCEPTE','REFUSE','ANNULE')	NO	'BROUILLON'
edc_fiche	EDF_CALIN_NIVEAU	enum('PEU','NORMALEMENT','FORTEMENT')	YES	NULL
edc_fiche	EDF_REPAS_AVANT_APRES	enum('AVANT','APRES','MEME_TEMPS','VARIE')	YES	NULL
edc_fiche	EDF_STATUT	enum('BROUILLON','VALIDE','ARCHIVE')	NO	'BROUILLON'
edc_fiche	EDF_STERILISATION	enum('OUI','NON','INCONNU')	NO	'INCONNU'
elevage_reservation	RES_MOYEN_ACOMPTE	enum('Espèces','Virement','Chèque')	NO	'Virement'
elevage_reservation	RES_MOYEN_SOLDE	enum('Espèces','Virement','Chèque')	NO	'Virement'
elevage_reservation	RES_STATUT	enum('EN_ATTENTE','CONFIRME','ANNULE')	NO	'EN_ATTENTE'
facture	FAC_CAT_OPERATION	enum('LIVRAISON_BIENS','PRESTATION_SERVICES','MIXTE')	YES	NULL
facture	FAC_FORMAT_ELEC	enum('PDF','FACTURX','UBL','CII')	NO	'PDF'
facture	FAC_RFE_STATUT	enum('NON_SOUMISE','DEPOSEE_PDP','TRANSMISE','ACCEPTEE','EN_LITIGE','RESOLUE','REFUSEE','ANNULEE_RFE')	NO	'NON_SOUMISE'
facture	FAC_STATUT	enum('BROUILLON','EMISE','PAYEE','ANNULEE')	NO	'EMISE'
inventaire_entete	INV_STATUT	enum('BROUILLON','VALIDE','ANNULE')	NO	'BROUILLON'
programme_suivi	PRG_STATUT	enum('EN_COURS','TERMINE','PAUSE')	NO	'EN_COURS'
race	RACE_TYPE	enum('CHIEN','CHAT','LAPIN','OISEAU','RONGEUR','REPTILE','EQUIDE','NAC','AUTRE')	NO	'CHIEN'
rs_post	RSP_STATUT	enum('BROUILLON','PLANIFIE','PUBLIE','ARCHIVE')	NO	'BROUILLON'
signature_demande	SGN_OBJET_TYPE	enum('DEVIS','FACTURE')	NO	NULL
signature_demande	SGN_STATUT	enum('BROUILLON','ENVOYE','EN_ATTENTE','SIGNE','REFUSE','EXPIRE','ANNULE','ERREUR')	NO	NULL
tiers	TIE_TYPE	enum('CLIENT','FOURNISSEUR','CLIENT_FOURNISSEUR')	NO	NULL
